name,business_id,industry,toi_code,toi_description,nearest_station,distance_km,address,website,status,registered,lat,lon,found_website
Westernacher Consulting Oy,3222671-7,it,63920.0,Muu tietopalvelutoiminta,Pasila,0.08,"Firdonkatu, 00520",,2,2021-08-09,60.1986848,24.933802,
POLARISTONE CO 3 Oy,3146912-7,finance,64990.0,Muualla luokittelematon muu rahoituspalvelutoiminta pois lukien vakuutus- ja eläkevakuutustoiminta,Pasila,0.08,"Firdonkatu, 00520",,2,2020-07-16,60.1986848,24.933802,
Aksion solutions Oy,3223802-1,other,82100.0,Hallinto- ja toimistopalvelut,Pasila,0.08,"Kasoorinkatu, 00520",,2,2021-07-21,60.1986848,24.933802,
POLARISTONE CO 2 Oy,3146900-4,finance,64990.0,Muualla luokittelematon muu rahoituspalvelutoiminta pois lukien vakuutus- ja eläkevakuutustoiminta,Pasila,0.08,"Firdonkatu, 00520",,2,2020-07-16,60.1986848,24.933802,
Cibus Daily Finland Oy,3146898-4,real_estate,68203.0,Muu kiinteistöjen vuokraus ja hallinta,Pasila,0.08,"Firdonkatu, 00520",,2,2020-07-16,60.1986848,24.933802,
Matek Modules Oy,3234188-9,construction,41000.0,Talonrakentaminen,Pasila,0.08,"Firdonkatu, 00520",,2,2021-09-24,60.1986848,24.933802,https://matek.fi/meista/
EFVAF III TeamCo Oy,3214162-5,real_estate,68110.0,Omien kiinteistöjen kauppa,Pasila,0.08,"Aleksis Kiven Katu, 00520",,2,2021-06-02,60.1986848,24.933802,
Areim Investment 4-7-2 Oy,3234189-7,real_estate,68203.0,Muu kiinteistöjen vuokraus ja hallinta,Pasila,0.08,"Firdonkatu, 00520",,2,2021-09-16,60.1986848,24.933802,https://www.areim.se/contact/
Corvo Oy,3234749-8,finance,66190.0,Muu rahoitusta palveleva toiminta pois lukien vakuutus- ja eläkevakuutustoiminta,Pasila,0.08,"Jamsankatu, 00520",,2,2021-09-14,60.1986848,24.933802,
Firen Teline Oy,3135339-4,construction,43999.0,Muu muualla luokittelematon monenlainen erikoistunut rakennustoiminta,Pasila,0.08,"Veturitie, 00520",,2,2020-06-09,60.1986848,24.933802,https://firenteline.fi/en/
Oenas Oy Ab,3135313-2,it,62100.0,Ohjelmistojen suunnittelu ja valmistus,Pasila,0.08,"Sahkottajankatu, 00520",,2,2020-05-20,60.1986848,24.933802,
Medizone Oy,3130213-2,health,86210.0,Terveysasemat ja vastaavat yleislääkäripalvelut,Pasila,0.08,"Opastinsilta, 00520",www.medizone.fi,2,2020-04-22,60.1986848,24.933802,www.medizone.fi
Bao Wow Wow Oy,3248283-3,hospitality,56111.0,Ruokaravintolat,Pasila,0.08,"Fredikanterassi, 00520",,2,2021-12-01,60.1986848,24.933802,
Niam VII Finland Logistics 1 Oy,3248333-4,marketing,70200.0,Liikkeenjohdon konsultointi,Pasila,0.08,"Firdonkatu, 00520",,2,2021-11-29,60.1986848,24.933802,
Kulta Media Oy,3128877-2,marketing,73300.0,Suhdetoiminta ja viestintä,Pasila,0.08,"Opastinsilta, 00520",www.kultamedia.fi,2,2020-04-07,60.1986848,24.933802,www.kultamedia.fi
